Movie,Year,Genres,Certification/Rating,IMDb ID,Writer,Director,Actors,Plot,Country,IMDb Rating,Runtime
Kung Fu Panda 3,2016,"Animation, Action, Adventure",PG,tt2267968,Jonathan Aibel,"Alessandro Carloni, Jennifer Yuh Nelson","Jack Black, Bryan Cranston, Dustin Hoffman","Continuing his ""legendary adventures of awesomeness"", Po must face two hugely epic, but different threats: one supernatural and the other a little closer to home.","China, United States",7.1,95 min
Satyagraha,2013,Drama,N/A,tt2275802,Prakash Jha,Prakash Jha,"Kareena Kapoor, Amitabh Bachchan, Ajay Devgn",A corporate go-getter sees his priorities shift when a personal tragedy brings him face-to-face with political corruption.,India,5.9,152 min
Kamaal Dhamaal Malamaal,2012,"Comedy, Drama",N/A,tt2278422,N/A,Priyadarshan,"Nana Patekar, Shreyas Talpade, Om Puri","Jhonny is often fooled by villagers as he is fit for nothing. He is in love with Maria but is often targeted by her brothers. Then enters Sam, who will be like a Samaritain to Jhonny's family.",India,4.2,148 min
OMG: Oh My God!,2012,"Comedy, Drama, Fantasy",Not Rated,tt2283748,Alok Jha,Umesh Shukla,"Paresh Rawal, Akshay Kumar, Mithun Chakraborty",A shopkeeper takes God to court when his shop is destroyed by an earthquake.,India,8.1,125 min
Chakravyuh,2012,"Action, Drama, Thriller",Not Rated,tt2292625,Prakash Jha,Prakash Jha,"Manoj Bajpayee, Kabir Bedi, Om Puri","On the request of his friend Kabir, SP Adil Sends him to the Naxal group as an informer. When Kabir finds the truth he becomes one of their gang leader.",India,6.8,152 min
Minions,2015,"Animation, Adventure, Comedy",PG,tt2293640,Brian Lynch,"Kyle Balda, Pierre Coffin","Sandra Bullock, Jon Hamm, Michael Keaton","Minions Stuart, Kevin, and Bob are recruited by Scarlet Overkill, a supervillain who, alongside her inventor husband Herb, hatches a plot to take over the world.","United States, France",6.4,91 min
Frozen,2013,"Animation, Adventure, Comedy",PG,tt2294629,Jennifer Lee,"Chris Buck, Jennifer Lee","Kristen Bell, Idina Menzel, Jonathan Groff","When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather co...",United States,7.4,102 min
Shootout at Wadala,2013,"Action, Biography, Crime",Not Rated,tt2301155,Sanjay Bhatia,Sanjay Gupta,"Anil Kapoor, John Abraham, Manoj Bajpayee","Based on the true story of the first-ever registered encounter by the Mumbai Police, which took place on November 1, 1982.",India,6,155 min
Ishaqzaade,2012,"Action, Drama, Romance",Not Rated,tt2308773,Aditya Chopra,Habib Faisal,"Arjun Kapoor, Parineeti Chopra, Gauahar Khan",A love story of a passion ignited by hatred. Of two people. Born to hate. Destined to love.,India,6.5,120 min
Singham Returns,2014,"Action, Crime, Drama",Not Rated,tt2309764,Rohit Shetty,Rohit Shetty,"Ajay Devgn, Kareena Kapoor, Amole Gupte","Owing to the wrongdoings affiliated with evils similar to black money, an honest but ferocious police officer returns as the Deputy Commissioner of Police with the prospect of wiping out injustice.",India,5.7,142 min
Koyekti Meyer Golpo,2012,"Crime, Drama",N/A,tt2310964,Subrata Sen,Subrata Sen,"Tanushree Chakraborty, Locket Chatterjee, Nimisha de Sarkar","A weird take on adventures of sophisticated escort-service females based in Kolkata (Calcutta), India. A non-narrative story, exploring the fun aspect of sexuality of young females. An Independent film, showcasing a few incidents ...",India,4.2,117 min
Qissa: The Tale of a Lonely Ghost,2013,"Drama, Fantasy, Horror",N/A,tt2334779,Anup Singh,Anup Singh,"Irrfan Khan, Tisca Chopra, Tillotama Shome","Umber Singh is a Sikh who loses everything during the separation of India in 1947 and is forced to leave his homeland. He obsessively wishes for a male heir. When his fourth daughter is born, he decides to wage a fight against des...","Germany, India, Netherlands, France",6.7,109 min
PK,2014,"Comedy, Drama, Sci-Fi",Not Rated,tt2338151,Rajkumar Hirani,Rajkumar Hirani,"Aamir Khan, Anushka Sharma, Sanjay Dutt",An alien on Earth loses the only device he can use to communicate with his spaceship. His innocent nature and child-like questions force the country to evaluate the impact of there religious views on there people.,India,8.1,153 min
The Lunchbox,2013,"Drama, Romance",PG,tt2350496,Ritesh Batra,Ritesh Batra,"Irrfan Khan, Nimrat Kaur, Nawazuddin Siddiqui",A mistaken delivery in Mumbai's famously efficient lunchbox delivery system connects a young housewife to an older man in the dusk of his life as they build a fantasy world together through notes in the lunchbox.,"India, France, Germany, United States, Canada",7.8,104 min
Teri Meri Kahaani,2012,"Comedy, Drama, Romance",Not Rated,tt2354407,Surabhi Bhatnagar,Kunal Kohli,"Shahid Kapoor, Priyanka Chopra Jonas, Prachi Desai","The true love between a couple in 1910, 1960 and 2012. Their love is so strong that even destiny wants to bring them together.",India,4.9,117 min
Bhaag Milkha Bhaag,2013,"Biography, Drama, Sport",Not Rated,tt2356180,Prasoon Joshi,Rakeysh Omprakash Mehra,"Farhan Akhtar, Deepak Singh Rawat, Japtej Singh","The truth behind the ascension of Milkha Singh, who was scarred by of the India-Pakistan partition.",India,8.2,186 min
